Windows 7 SP 1
Version 6.1.7601 (cmd->"ver")
Kernel32.dll

Name	Address	Ordinal
CreateEventExW	0000000078D6CA30	134
CreateEventW	0000000078D34730	135
CreateFiber	0000000078D283C0	136
CreateFiberEx	0000000078D283F0	137
CreateFileA	0000000078D41B80	138
CreateFileMappingA	0000000078D2DF80	139
CreateFileMappingNumaA	0000000078D85240	140
CreateFileMappingNumaW	0000000078D6C9F0	141
CreateFileMappingW	0000000078D2EE90	142
CreateFileTransactedA	0000000078D95C10	143
CreateFileTransactedW	0000000078D95A70	144
CreateFileW	0000000078D30D10	145
CreateHardLinkA	0000000078D7BC90	146
CreateHardLinkTransactedA	0000000078D7BDF0	147
CreateHardLinkTransactedW	0000000078D7BD30	148
CreateHardLinkW	0000000078D7B990	149
CreateIoCompletionPort	0000000078D24F80	150
CreateJobObjectA	0000000078D7C1E0	151
CreateJobObjectW	0000000078D7C150	152
CreateJobSet	0000000078D68B50	153
CreateMailslotA	0000000078D26110	154
CreateMailslotW	0000000078D26180	155
CreateMemoryResourceNotification	0000000078D67F00	156
CreateMutexA	0000000078D366B0	157
CreateMutexExA	0000000078D6C9E0	158
CreateMutexExW	0000000078D6C9D0	159
CreateMutexW	0000000078D30860	160
CreateNamedPipeA	0000000078D82DE0	161
CreateNamedPipeW	0000000078D22040	162
CreatePipe	0000000078D243F0	163
CreatePrivateNamespaceA	0000000078DA0060	164
CreatePrivateNamespaceW	0000000078D93140	165
CreateProcessA	0000000078DBAFD0	166
CreateProcessAsUserW	0000000078D298D0	167
CreateProcessInternalA	0000000078DBA300	168
CreateProcessInternalW	0000000078D3DD20	169
CreateProcessW	0000000078D405E0	170
CreateRemoteThread	0000000078D6C990	171
CreateRemoteThreadEx	0000000078DCA376	172
CreateSemaphoreA	0000000078D2E030	173
CreateSemaphoreExA	0000000078D2E060	174
CreateSemaphoreExW	0000000078D6C960	175
CreateSemaphoreW	0000000078D28E10	176
CreateSymbolicLinkA	0000000078D96130	177
CreateSymbolicLinkTransactedA	0000000078D96290	178
CreateSymbolicLinkTransactedW	0000000078D961D0	179
CreateSymbolicLinkW	0000000078D95CD0	180
CreateTapePartition	0000000078DAE730	181
CreateThread	0000000078D35A20	182
CreateThreadpool	0000000078D6BF30	183
CreateThreadpoolCleanupGroup	0000000078D25CF0	184
CreateThreadpoolIo	0000000078D93220	185
CreateThreadpoolTimer	0000000078D27EA0	186
CreateThreadpoolWait	0000000078D6BF20	187
CreateThreadpoolWork	0000000078D25D40	188
CreateTimerQueue	0000000078D6C950	189
CreateTimerQueueTimer	0000000078D28150	190
CreateToolhelp32Snapshot	0000000078D21C10	191
CreateUmsCompletionList	0000000078D694B0	192
CreateUmsThreadContext	0000000078D69280	193
CreateWaitableTimerA	0000000078D81020	194
CreateWaitableTimerExA	0000000078D80F90	195
CreateWaitableTimerExW	0000000078D6C940	196
CreateWaitableTimerW	0000000078D6B720	197
CtrlRoutine	0000000078D74B10	198
DeactivateActCtx	0000000078D23C40	199
DebugActiveProcess	0000000078D86CC0	200
DebugActiveProcessStop	0000000078D978F0	201
DebugBreak	0000000078D6C930	202
DebugBreakProcess	0000000078D71150	203
DebugSetProcessKillOnExit	0000000078D710F0	204
DecodePointer	0000000078DCA3B1	205
DecodeSystemPointer	0000000078DCA3C8	206
DefineDosDeviceA	0000000078D85AF0	207
DefineDosDeviceW	0000000078D6C920	208
DelayLoadFailureHook	0000000078D78E00	209
DeleteAtom	0000000078D86B90	210
DeleteBoundaryDescriptor	0000000078DCA3E5	211
DeleteCriticalSection	0000000078DCA407	212
DeleteFiber	0000000078D28200	213
DeleteFileA	0000000078D30980	214
DeleteFileTransactedA	0000000078D85140	215
DeleteFileTransactedW	0000000078D70000	216
DeleteFileW	0000000078D2A240	217
DeleteProcThreadAttributeList	0000000078DCA426	218
DeleteTimerQueue	0000000078D67DE0	219
DeleteTimerQueueEx	0000000078D6C910	220
DeleteTimerQueueTimer	0000000078D286B0	221
DeleteUmsCompletionList	0000000078D693B0	222
DeleteUmsThreadContext	0000000078D692B0	223
DeleteVolumeMountPointA	0000000078D90990	224
DeleteVolumeMountPointW	0000000078D932C0	225
DequeueUmsCompletionListItems	0000000078D69470	226
DeviceIoControl	0000000078D35C60	227
DisableThreadLibraryCalls	0000000078D35C20	228
DisableThreadProfiling	0000000078D67860	229
DisassociateCurrentThreadFromCallback	0000000078DCA46A	230
DisconnectNamedPipe	0000000078D6C900	231
DnsHostnameToComputerNameA	0000000078D71950	232
DnsHostnameToComputerNameW	0000000078D28870	233
DosDateTimeToFileTime	0000000078D71590	234
DosPathToSessionPathA	0000000078D81670	235
DosPathToSessionPathW	0000000078D814F0	236
DuplicateConsoleHandle	0000000078D62180	237
DuplicateHandle	0000000078D351B0	238
EnableThreadProfiling	0000000078D67890	239
EncodePointer	0000000078DCA487	240
EncodeSystemPointer	0000000078DCA49E	241
EndUpdateResourceA	0000000078DB6080	242
EndUpdateResourceW	0000000078DB5E40	243
EnterCriticalSection	0000000078DCA4BB	244
EnterUmsSchedulingMode	0000000078D69250	245
EnumCalendarInfoA	0000000078D66ED0	246
EnumCalendarInfoExA	0000000078D66E40	247
EnumCalendarInfoExEx	0000000078D6BDF0	248
EnumCalendarInfoExW	0000000078D6C8F0	249
EnumCalendarInfoW	0000000078D6C8E0	250
EnumDateFormatsA	0000000078D66D70	251
EnumDateFormatsExA	0000000078D66D10	252
EnumDateFormatsExEx	0000000078D6BDE0	253
EnumDateFormatsExW	0000000078D6C8D0	254
EnumDateFormatsW	0000000078D6C8C0	255
EnumLanguageGroupLocalesA	0000000078D66CC0	256
EnumLanguageGroupLocalesW	0000000078D6C8B0	257
EnumResourceLanguagesA	0000000078DA8480	258
EnumResourceLanguagesExA	0000000078DA0150	259
EnumResourceLanguagesExW	0000000078DA0220	260
EnumResourceLanguagesW	0000000078DA84B0	261
EnumResourceNamesA	0000000078DA84E0	262
EnumResourceNamesExA	0000000078DA0260	263
EnumResourceNamesExW	0000000078D3AAD0	264
EnumResourceNamesW	0000000078DA8510	265
EnumResourceTypesA	0000000078DA8540	266
EnumResourceTypesExA	0000000078DA02F0	267
EnumResourceTypesExW	0000000078DA0320	268
EnumResourceTypesW	0000000078DA8570	269
EnumSystemCodePagesA	0000000078D66CA0	270
EnumSystemCodePagesW	0000000078D6C8A0	271
EnumSystemFirmwareTables	0000000078D839B0	272
EnumSystemGeoID	0000000078D7A500	273
EnumSystemLanguageGroupsA	0000000078D66CE0	274
EnumSystemLanguageGroupsW	0000000078D6C890	275
EnumSystemLocalesA	0000000078D6C880	276
EnumSystemLocalesEx	0000000078D6C870	277
EnumSystemLocalesW	0000000078D6C860	278
EnumTimeFormatsA	0000000078D66DD0	279
EnumTimeFormatsEx	0000000078D6BDD0	280
EnumTimeFormatsW	0000000078D6C850	281
EnumUILanguagesA	0000000078D66CB0	282
EnumUILanguagesW	0000000078D6C840	283
EnumerateLocalComputerNamesA	0000000078DAFA80	284
EnumerateLocalComputerNamesW	0000000078DAA420	285
EraseTape	0000000078DAE770	286
EscapeCommFunction	0000000078D6A640	287
ExecuteUmsThread	0000000078D69410	288
ExitProcess	0000000078DCA4D9	289
ExitThread	0000000078DCA4F2	290
ExitVDM	0000000078D7E610	291
ExpandEnvironmentStringsA	0000000078D27790	292
ExpandEnvironmentStringsW	0000000078D36650	293
ExpungeConsoleCommandHistoryA	0000000078D8AD60	294
ExpungeConsoleCommandHistoryW	0000000078D8AD70	295
FatalAppExitA	0000000078D6BEA0	296
FatalAppExitW	0000000078D6BE90	297
FatalExit	0000000078D6D100	298
FileTimeToDosDateTime	0000000078D71640	299
FileTimeToLocalFileTime	0000000078D2A6C0	300
FileTimeToSystemTime	0000000078D2A3D0	301
FillConsoleOutputAttribute	0000000078D74DC0	302
FillConsoleOutputCharacterA	0000000078D74E20	303
FillConsoleOutputCharacterW	0000000078D74DF0	304
FindActCtxSectionGuid	0000000078D34750	305
FindActCtxSectionStringA	0000000078D8FC30	306
FindActCtxSectionStringW	0000000078D40710	307
FindAtomA	0000000078D23650	308
FindAtomW	0000000078D3A860	309
FindClose	0000000078D3B190	310
FindCloseChangeNotification	0000000078D6C830	311
FindFirstChangeNotificationA	0000000078D6C7E0	312
FindFirstChangeNotificationW	0000000078D22930	313
FindFirstFileA	0000000078D6C820	314
FindFirstFileExA	0000000078D6C7F0	315
FindFirstFileExW	0000000078D3B910	316
FindFirstFileNameTransactedW	0000000078D96850	317
FindFirstFileNameW	0000000078D96450	318
FindFirstFileTransactedA	0000000078D70690	319
FindFirstFileTransactedW	0000000078D705C0	320
FindFirstFileW	0000000078D3B1B0	321
FindFirstStreamTransactedW	0000000078D96D00	322
FindFirstStreamW	0000000078D96910	323
FindFirstVolumeA	0000000078D7D4B0	324
FindFirstVolumeMountPointA	0000000078D90FE0	325
FindFirstVolumeMountPointW	0000000078D90DA0	326
FindFirstVolumeW	0000000078D814E0	327
FindNLSString	0000000078D6C770	328
FindNLSStringEx	0000000078D6BD70	329
FindNextChangeNotification	0000000078D6C7D0	330
FindNextFileA	0000000078D6C7C0	331
FindNextFileNameW	0000000078D96380	332
FindNextFileW	0000000078D30DB0	333
FindNextStreamW	0000000078D70530	334
FindNextVolumeA	0000000078D7D320	335
FindNextVolumeMountPointA	0000000078D90C10	336
FindNextVolumeMountPointW	0000000078D90C00	337
FindNextVolumeW	0000000078D6C7B0	338
FindResourceA	0000000078D24410	339
FindResourceExA	0000000078D24430	340
FindResourceExW	0000000078D38DF0	341
FindResourceW	0000000078D39000	342
FindStringOrdinal	0000000078D6C740	343
FindVolumeClose	0000000078D814D0	344
FindVolumeMountPointClose	0000000078D7CB90	345
FlsAlloc	0000000078D36630	346
FlsFree	0000000078D30A50	347
FlsGetValue	0000000078D41EB0	348
FlsSetValue	0000000078D3B1C0	349
FlushConsoleInputBuffer	0000000078D2A9C0	350
FlushFileBuffers	0000000078D260E0	351
FlushInstructionCache	0000000078D22EE0	352
FlushProcessWriteBuffers	0000000078DCA50A	353
FlushViewOfFile	0000000078D6C730	354
FoldStringA	0000000078D8EA00	355
FoldStringW	0000000078D6C710	356
FormatMessageA	0000000078D6C6D0	357
FormatMessageW	0000000078D32CE0	358
FreeConsole	0000000078D8AC00	359
FreeEnvironmentStringsA	0000000078D6C6C0	360
FreeEnvironmentStringsW	0000000078D361A0	361
FreeLibrary	0000000078D35AC0	362
FreeLibraryAndExitThread	0000000078D24EF0	363
FreeLibraryWhenCallbackReturns	0000000078DCA52B	364
FreeResource	0000000078D25510	365
FreeUserPhysicalPages	0000000078D68010	366
GenerateConsoleCtrlEvent	0000000078D60E80	367
GetACP	0000000078D36430	368
GetActiveProcessorCount	0000000078D23370	369
GetActiveProcessorGroupCount	0000000078D93380	370
GetApplicationRecoveryCallback	0000000078D9F660	371
GetApplicationRestartSettings	0000000078D9F650	372
GetAtomNameA	0000000078D86B60	373
GetAtomNameW	0000000078D86B10	374
GetBinaryType	0000000078D7F470	375
GetBinaryTypeA	0000000078D7F470	376
GetBinaryTypeW	0000000078D7F0D0	377
GetCPInfo	0000000078D36180	378
GetCPInfoExA	0000000078D7A760	379
GetCPInfoExW	0000000078D6C6B0	380
GetCalendarDateFormat	0000000078DB6C40	381
GetCalendarDateFormatEx	0000000078DB66E0	382
GetCalendarDaysInMonth	0000000078DA6DE0	383
GetCalendarDifferenceInDays	0000000078DB69E0	384
GetCalendarInfoA	0000000078D7A810	385
GetCalendarInfoEx	0000000078D51158	386
GetCalendarInfoW	0000000078D51164	387
GetCalendarMonthsInYear	0000000078D9E950	388
GetCalendarSupportedDateRange	0000000078D8F570	389
GetCalendarWeekNumber	0000000078DB7330	390
GetComPlusPackageInstallStatus	0000000078D688E0	391
GetCommConfig	0000000078D6A3E0	392
GetCommMask	0000000078D6A300	393
GetCommModemStatus	0000000078D6A220	394
GetCommProperties	0000000078D6A120	395
GetCommState	0000000078D69D90	396
GetCommTimeouts	0000000078D69C80	397
GetCommandLineA	0000000078D408A0	398
GetCommandLineW	0000000078D3B8B0	399
GetCompressedFileSizeA	0000000078D84C60	400
GetCompressedFileSizeTransactedA	0000000078D84D50	401
GetCompressedFileSizeTransactedW	0000000078D84CB0	402
GetCompressedFileSizeW	0000000078D84AA0	403
GetComputerNameA	0000000078D2E120	404
GetComputerNameExA	0000000078D24EA0	405
GetComputerNameExW	0000000078D2C000	406
GetComputerNameW	0000000078D2C5E0	407
GetConsoleAliasA	0000000078D8ADC0	408
GetConsoleAliasExesA	0000000078D75EE0	409
GetConsoleAliasExesLengthA	0000000078D760A0	410
GetConsoleAliasExesLengthW	0000000078D760B0	411
GetConsoleAliasExesW	0000000078D75EF0	412
GetConsoleAliasW	0000000078D8AE10	413
GetConsoleAliasesA	0000000078D8AD80	414
GetConsoleAliasesLengthA	0000000078D8ADA0	415
GetConsoleAliasesLengthW	0000000078D8ADB0	416
GetConsoleAliasesW	0000000078D8AD90	417
GetConsoleCP	0000000078D609F0	418
GetConsoleCharType	0000000078D604F0	419
GetConsoleCommandHistoryA	0000000078D8AD00	420
GetConsoleCommandHistoryLengthA	0000000078D8AD20	421
GetConsoleCommandHistoryLengthW	0000000078D8AD30	422
GetConsoleCommandHistoryW	0000000078D8AD10	423
GetConsoleCursorInfo	0000000078D61090	424
GetConsoleCursorMode	0000000078D603E0	425
GetConsoleDisplayMode	0000000078D61C50	426
GetConsoleFontInfo	0000000078D8A4A0	427
GetConsoleFontSize	0000000078D60F10	428
GetConsoleHardwareState	0000000078D61D40	429
GetConsoleHistoryInfo	0000000078D60700	430
GetConsoleInputExeNameA	0000000078D62560	431
GetConsoleInputExeNameW	0000000078D624C0	432
GetConsoleInputWaitHandle	0000000078D62310	433
GetConsoleKeyboardLayoutNameA	0000000078D8A250	434
GetConsoleKeyboardLayoutNameW	0000000078D8A230	435
GetConsoleMode	0000000078D417F0	436
GetConsoleNlsMode	0000000078D605F0	437
GetConsoleOriginalTitleA	0000000078D8ACE0	438
GetConsoleOriginalTitleW	0000000078D8ACC0	439
GetConsoleOutputCP	0000000078D38C30	440
GetConsoleProcessList	0000000078D607A0	441
GetConsoleScreenBufferInfo	0000000078D32F40	442
